PID    | Hora Atual
221803 | 19:44:55.957
804399 | 19:44:55.957
831962 | 19:44:55.957
136733 | 19:44:55.957
843494 | 19:44:55.958
769932 | 19:44:55.958
085037 | 19:44:55.958
482721 | 19:44:55.958
955261 | 19:44:55.959
476219 | 19:44:55.959
404753 | 19:44:55.959
235944 | 19:44:55.959
952882 | 19:44:55.960
598654 | 19:44:55.960
588041 | 19:44:55.960
474379 | 19:44:55.960
805415 | 19:44:55.961
215817 | 19:44:55.961
953426 | 19:44:55.961
268303 | 19:44:55.961
667416 | 19:44:55.962
994075 | 19:44:55.962
685803 | 19:44:55.962
236275 | 19:44:55.962
579896 | 19:44:55.963
023192 | 19:44:55.963
708920 | 19:44:55.963
176375 | 19:44:55.963
769091 | 19:44:55.964
641233 | 19:44:55.964
724301 | 19:44:55.964
663181 | 19:44:55.964
063070 | 19:44:55.965
513897 | 19:44:55.965
323631 | 19:44:55.965
126185 | 19:44:55.966
069885 | 19:44:55.966
738053 | 19:44:55.966
118339 | 19:44:55.966
339940 | 19:44:55.967
119100 | 19:44:55.967
051408 | 19:44:55.967
232302 | 19:44:55.967
352693 | 19:44:55.967
670214 | 19:44:55.968
981601 | 19:44:55.968
559124 | 19:44:55.968
545407 | 19:44:55.968
491364 | 19:44:55.969
844127 | 19:44:55.969
318997 | 19:44:55.969
273787 | 19:44:55.969
791414 | 19:44:55.970
935645 | 19:44:55.970
920574 | 19:44:55.970
967088 | 19:44:55.970
887736 | 19:44:55.971
461699 | 19:44:55.971
473090 | 19:44:55.971
918152 | 19:44:55.971
410348 | 19:44:55.972
803601 | 19:44:55.972
228664 | 19:44:55.972
763717 | 19:44:55.972
272565 | 19:44:55.973
659583 | 19:44:55.973
725692 | 19:44:55.973
889704 | 19:44:55.973
975934 | 19:44:55.974
938736 | 19:44:55.974
695731 | 19:44:55.974
080963 | 19:44:55.974
752861 | 19:44:55.975
505359 | 19:44:55.975
297374 | 19:44:55.975
253856 | 19:44:55.975
823095 | 19:44:55.976
669415 | 19:44:55.976
000306 | 19:44:55.976
764344 | 19:44:55.976
779593 | 19:44:55.977
